id,session,fold
sess_sim_20260522_008930-step_04,sess_sim_20260522_008930,4
sess_sim_20260522_024787-step_01,sess_sim_20260522_024787,3
sess_sim_20260522_007366-step_07,sess_sim_20260522_007366,3
sess_sim_20260522_036951-step_04,sess_sim_20260522_036951,4
sess_sim_20260522_025888-step_10,sess_sim_20260522_025888,4
sess_sim_20260522_009286-step_03,sess_sim_20260522_009286,3
sess_sim_20260522_001193-step_01,sess_sim_20260522_001193,2
sess_sim_20260522_042401-step_04,sess_sim_20260522_042401,1
sess_sim_20260522_044222-step_03,sess_sim_20260522_044222,0
sess_sim_20260522_013713-step_01,sess_sim_20260522_013713,3
sess_sim_20260522_041454-step_04,sess_sim_20260522_041454,3
sess_sim_20260522_034257-step_04,sess_sim_20260522_034257,3
sess_sim_20260522_025218-step_06,sess_sim_20260522_025218,1
sess_sim_20260522_005877-step_02,sess_sim_20260522_005877,2
sess_sim_20260522_039640-step_01,sess_sim_20260522_039640,4
sess_sim_20260522_046470-step_01,sess_sim_20260522_046470,0
sess_sim_20260522_028060-step_03,sess_sim_20260522_028060,0
sess_sim_20260522_040385-step_12,sess_sim_20260522_040385,2
sess_sim_20260522_027983-step_03,sess_sim_20260522_027983,0
sess_sim_20260522_022742-step_12,sess_sim_20260522_022742,2
sess_sim_20260522_018917-step_05,sess_sim_20260522_018917,1
sess_sim_20260522_029625-step_06,sess_sim_20260522_029625,2
sess_sim_20260522_017306-step_04,sess_sim_20260522_017306,4
sess_sim_20260522_035967-step_11,sess_sim_20260522_035967,4
sess_sim_20260522_031432-step_09,sess_sim_20260522_031432,3
sess_sim_20260522_006863-step_05,sess_sim_20260522_006863,0
sess_sim_20260522_039728-step_02,sess_sim_20260522_039728,2
sess_sim_20260522_011013-step_01,sess_sim_20260522_011013,3
sess_sim_20260522_011224-step_02,sess_sim_20260522_011224,3
sess_sim_20260522_002075-step_03,sess_sim_20260522_002075,0
sess_sim_20260522_033080-step_05,sess_sim_20260522_033080,1
sess_sim_20260522_033150-step_08,sess_sim_20260522_033150,0
sess_sim_20260522_044123-step_01,sess_sim_20260522_044123,1
sess_sim_20260522_030883-step_05,sess_sim_20260522_030883,2
sess_sim_20260522_008153-step_06,sess_sim_20260522_008153,3
sess_sim_20260522_007214-step_05,sess_sim_20260522_007214,0
sess_sim_20260522_043300-step_05,sess_sim_20260522_043300,4
sess_sim_20260522_003990-step_16,sess_sim_20260522_003990,2
sess_sim_20260522_014033-step_10,sess_sim_20260522_014033,1
sess_sim_20260522_029294-step_05,sess_sim_20260522_029294,2
sess_sim_20260522_005878-step_02,sess_sim_20260522_005878,2
sess_sim_20260522_028630-step_03,sess_sim_20260522_028630,0
sess_sim_20260522_007462-step_01,sess_sim_20260522_007462,3
sess_sim_20260522_003249-step_02,sess_sim_20260522_003249,0
sess_sim_20260522_029048-step_04,sess_sim_20260522_029048,0
sess_sim_20260522_008742-step_02,sess_sim_20260522_008742,2
sess_sim_20260522_021045-step_05,sess_sim_20260522_021045,1
sess_sim_20260522_044721-step_02,sess_sim_20260522_044721,3
sess_sim_20260522_032718-step_03,sess_sim_20260522_032718,3
sess_sim_20260522_046267-step_09,sess_sim_20260522_046267,4
sess_sim_20260522_030571-step_06,sess_sim_20260522_030571,0
sess_sim_20260522_046096-step_05,sess_sim_20260522_046096,1
sess_au_564447_004-step_07,sess_au_564447_004,2
sess_sim_20260522_039618-step_05,sess_sim_20260522_039618,4
sess_sim_20260522_024137-step_11,sess_sim_20260522_024137,1
sess_sim_20260522_013645-step_02,sess_sim_20260522_013645,1
sess_sim_20260522_023474-step_02,sess_sim_20260522_023474,3
sess_sim_20260522_024207-step_03,sess_sim_20260522_024207,3
sess_sim_20260522_006881-step_09,sess_sim_20260522_006881,4
sess_sim_20260522_031154-step_06,sess_sim_20260522_031154,1
sess_sim_20260522_005269-step_02,sess_sim_20260522_005269,2
sess_au_658817_000-step_02,sess_au_658817_000,0
sess_sim_20260522_019741-step_07,sess_sim_20260522_019741,2
sess_sim_20260522_021308-step_02,sess_sim_20260522_021308,3
sess_sim_20260522_025269-step_02,sess_sim_20260522_025269,0
sess_au_888102_014-step_01,sess_au_888102_014,3
sess_sim_20260522_040096-step_01,sess_sim_20260522_040096,4
sess_sim_20260522_023934-step_05,sess_sim_20260522_023934,3
sess_sim_20260522_032847-step_02,sess_sim_20260522_032847,0
sess_au_243930_002-step_03,sess_au_243930_002,0
sess_sim_20260522_013379-step_04,sess_sim_20260522_013379,2
sess_sim_20260522_039976-step_06,sess_sim_20260522_039976,3
sess_sim_20260522_041755-step_01,sess_sim_20260522_041755,3
sess_sim_20260522_042044-step_05,sess_sim_20260522_042044,3
sess_sim_20260522_005957-step_03,sess_sim_20260522_005957,0
sess_sim_20260522_026525-step_02,sess_sim_20260522_026525,4
sess_sim_20260522_006458-step_03,sess_sim_20260522_006458,0
sess_sim_20260522_018642-step_01,sess_sim_20260522_018642,4
sess_sim_20260522_025597-step_04,sess_sim_20260522_025597,3
sess_sim_20260522_038430-step_05,sess_sim_20260522_038430,0
sess_sim_20260522_026596-step_01,sess_sim_20260522_026596,0
sess_sim_20260522_016238-step_01,sess_sim_20260522_016238,4
sess_sim_20260522_013371-step_02,sess_sim_20260522_013371,0
sess_sim_20260522_047032-step_04,sess_sim_20260522_047032,0
sess_sim_20260522_038274-step_08,sess_sim_20260522_038274,4
sess_sim_20260522_044067-step_01,sess_sim_20260522_044067,1
sess_sim_20260522_038515-step_06,sess_sim_20260522_038515,3
sess_sim_20260522_024089-step_01,sess_sim_20260522_024089,2
sess_sim_20260522_029054-step_01,sess_sim_20260522_029054,1
sess_au_562191_004-step_02,sess_au_562191_004,0
sess_sim_20260522_000753-step_02,sess_sim_20260522_000753,2
sess_au_326079_006-step_02,sess_au_326079_006,0
sess_sim_20260522_044481-step_06,sess_sim_20260522_044481,3
sess_au_763215_001-step_03,sess_au_763215_001,1
sess_sim_20260522_004126-step_05,sess_sim_20260522_004126,4
sess_sim_20260522_025153-step_14,sess_sim_20260522_025153,3
sess_sim_20260522_040888-step_06,sess_sim_20260522_040888,2
sess_sim_20260522_003851-step_04,sess_sim_20260522_003851,1
sess_sim_20260522_046983-step_03,sess_sim_20260522_046983,0
sess_sim_20260522_011193-step_04,sess_sim_20260522_011193,3
sess_sim_20260522_039740-step_01,sess_sim_20260522_039740,1
sess_sim_20260522_013417-step_02,sess_sim_20260522_013417,3
sess_sim_20260522_018275-step_04,sess_sim_20260522_018275,1
sess_sim_20260522_011573-step_04,sess_sim_20260522_011573,2
sess_sim_20260522_034573-step_03,sess_sim_20260522_034573,4
sess_sim_20260522_045827-step_04,sess_sim_20260522_045827,0
sess_au_057960_014-step_04,sess_au_057960_014,1
sess_sim_20260522_030933-step_01,sess_sim_20260522_030933,4
sess_sim_20260522_026312-step_06,sess_sim_20260522_026312,0
sess_sim_20260522_013280-step_01,sess_sim_20260522_013280,3
sess_sim_20260522_016947-step_15,sess_sim_20260522_016947,2
sess_sim_20260522_011168-step_10,sess_sim_20260522_011168,4
sess_sim_20260522_013783-step_04,sess_sim_20260522_013783,4
sess_sim_20260522_025148-step_10,sess_sim_20260522_025148,3
sess_sim_20260522_046837-step_02,sess_sim_20260522_046837,2
sess_sim_20260522_037898-step_02,sess_sim_20260522_037898,1
sess_sim_20260522_011819-step_07,sess_sim_20260522_011819,3
sess_sim_20260522_046599-step_03,sess_sim_20260522_046599,1
sess_sim_20260522_018585-step_08,sess_sim_20260522_018585,0
sess_sim_20260522_024430-step_02,sess_sim_20260522_024430,3
sess_sim_20260522_010954-step_01,sess_sim_20260522_010954,2
sess_sim_20260522_042447-step_01,sess_sim_20260522_042447,3
sess_sim_20260522_023041-step_05,sess_sim_20260522_023041,4
sess_sim_20260522_030679-step_07,sess_sim_20260522_030679,1
sess_sim_20260522_002261-step_06,sess_sim_20260522_002261,3
sess_sim_20260522_019879-step_02,sess_sim_20260522_019879,3
sess_sim_20260522_011110-step_05,sess_sim_20260522_011110,3
sess_sim_20260522_021475-step_05,sess_sim_20260522_021475,1
sess_sim_20260522_011022-step_11,sess_sim_20260522_011022,1
sess_sim_20260522_017234-step_03,sess_sim_20260522_017234,3
sess_au_460027_002-step_04,sess_au_460027_002,2
sess_sim_20260522_023474-step_04,sess_sim_20260522_023474,3
sess_sim_20260522_034219-step_02,sess_sim_20260522_034219,2
sess_sim_20260522_028519-step_02,sess_sim_20260522_028519,1
sess_sim_20260522_022722-step_05,sess_sim_20260522_022722,1
sess_sim_20260522_030726-step_02,sess_sim_20260522_030726,2
sess_sim_20260522_028972-step_08,sess_sim_20260522_028972,3
sess_sim_20260522_010417-step_09,sess_sim_20260522_010417,1
sess_sim_20260522_006929-step_06,sess_sim_20260522_006929,1
sess_sim_20260522_028390-step_04,sess_sim_20260522_028390,1
sess_sim_20260522_009493-step_07,sess_sim_20260522_009493,0
sess_sim_20260522_009586-step_02,sess_sim_20260522_009586,4
sess_sim_20260522_007502-step_04,sess_sim_20260522_007502,2
sess_sim_20260522_041260-step_04,sess_sim_20260522_041260,4
sess_sim_20260522_004882-step_06,sess_sim_20260522_004882,0
sess_sim_20260522_004616-step_06,sess_sim_20260522_004616,3
sess_sim_20260522_010168-step_08,sess_sim_20260522_010168,0
sess_sim_20260522_013064-step_03,sess_sim_20260522_013064,0
sess_sim_20260522_026812-step_06,sess_sim_20260522_026812,1
sess_sim_20260522_005669-step_01,sess_sim_20260522_005669,1
sess_sim_20260522_014621-step_07,sess_sim_20260522_014621,4
sess_sim_20260522_001394-step_01,sess_sim_20260522_001394,1
sess_sim_20260522_030368-step_06,sess_sim_20260522_030368,3
sess_sim_20260522_008342-step_02,sess_sim_20260522_008342,1
sess_sim_20260522_043564-step_05,sess_sim_20260522_043564,2
sess_sim_20260522_045374-step_03,sess_sim_20260522_045374,4
sess_sim_20260522_028009-step_14,sess_sim_20260522_028009,4
sess_sim_20260522_046696-step_03,sess_sim_20260522_046696,4
sess_sim_20260522_042954-step_05,sess_sim_20260522_042954,4
sess_sim_20260522_012726-step_02,sess_sim_20260522_012726,0
sess_sim_20260522_042202-step_07,sess_sim_20260522_042202,3
sess_sim_20260522_039347-step_02,sess_sim_20260522_039347,1
sess_sim_20260522_027719-step_02,sess_sim_20260522_027719,3
sess_sim_20260522_008146-step_03,sess_sim_20260522_008146,1
sess_sim_20260522_002403-step_03,sess_sim_20260522_002403,2
sess_au_566190_001-step_05,sess_au_566190_001,1
sess_sim_20260522_019522-step_02,sess_sim_20260522_019522,2
sess_sim_20260522_008746-step_01,sess_sim_20260522_008746,4
sess_sim_20260522_040525-step_03,sess_sim_20260522_040525,4
sess_sim_20260522_000688-step_04,sess_sim_20260522_000688,0
sess_sim_20260522_036982-step_04,sess_sim_20260522_036982,0
sess_sim_20260522_042233-step_06,sess_sim_20260522_042233,4
sess_sim_20260522_006478-step_05,sess_sim_20260522_006478,0
sess_sim_20260522_024273-step_01,sess_sim_20260522_024273,2
sess_sim_20260522_029593-step_02,sess_sim_20260522_029593,4
sess_sim_20260522_041121-step_05,sess_sim_20260522_041121,1
sess_au_862885_011-step_03,sess_au_862885_011,0
sess_sim_20260522_036363-step_10,sess_sim_20260522_036363,3
sess_sim_20260522_027299-step_04,sess_sim_20260522_027299,4
sess_au_971999_012-step_01,sess_au_971999_012,2
sess_sim_20260522_010009-step_03,sess_sim_20260522_010009,3
sess_sim_20260522_023929-step_03,sess_sim_20260522_023929,2
sess_au_815508_003-step_05,sess_au_815508_003,2
sess_sim_20260522_012691-step_07,sess_sim_20260522_012691,0
sess_sim_20260522_025006-step_03,sess_sim_20260522_025006,3
sess_sim_20260522_030126-step_06,sess_sim_20260522_030126,1
sess_sim_20260522_001343-step_04,sess_sim_20260522_001343,2
sess_sim_20260522_011298-step_03,sess_sim_20260522_011298,3
sess_sim_20260522_017026-step_06,sess_sim_20260522_017026,2
sess_sim_20260522_001730-step_05,sess_sim_20260522_001730,4
sess_sim_20260522_025658-step_06,sess_sim_20260522_025658,1
sess_sim_20260522_015476-step_03,sess_sim_20260522_015476,4
sess_sim_20260522_005119-step_08,sess_sim_20260522_005119,1
sess_sim_20260522_037910-step_10,sess_sim_20260522_037910,2
sess_sim_20260522_003423-step_17,sess_sim_20260522_003423,1
sess_sim_20260522_011618-step_01,sess_sim_20260522_011618,3
sess_au_599530_008-step_05,sess_au_599530_008,3
sess_sim_20260522_037205-step_06,sess_sim_20260522_037205,2
sess_sim_20260522_008235-step_07,sess_sim_20260522_008235,4
sess_sim_20260522_016773-step_05,sess_sim_20260522_016773,0
sess_sim_20260522_022621-step_07,sess_sim_20260522_022621,1
sess_sim_20260522_041929-step_01,sess_sim_20260522_041929,0
sess_sim_20260522_036391-step_10,sess_sim_20260522_036391,4
sess_sim_20260522_014581-step_06,sess_sim_20260522_014581,1
sess_sim_20260522_006088-step_06,sess_sim_20260522_006088,3
sess_sim_20260522_010654-step_01,sess_sim_20260522_010654,2
sess_sim_20260522_003280-step_01,sess_sim_20260522_003280,3
sess_sim_20260522_014967-step_13,sess_sim_20260522_014967,0
sess_sim_20260522_008747-step_01,sess_sim_20260522_008747,2
sess_sim_20260522_006268-step_06,sess_sim_20260522_006268,4
sess_sim_20260522_046633-step_08,sess_sim_20260522_046633,1
sess_sim_20260522_014377-step_05,sess_sim_20260522_014377,4
sess_sim_20260522_010672-step_08,sess_sim_20260522_010672,0
sess_sim_20260522_014697-step_04,sess_sim_20260522_014697,0
sess_sim_20260522_007330-step_02,sess_sim_20260522_007330,3
sess_sim_20260522_022277-step_07,sess_sim_20260522_022277,0
sess_au_307985_005-step_10,sess_au_307985_005,0
sess_sim_20260522_020763-step_08,sess_sim_20260522_020763,2
sess_sim_20260522_025172-step_07,sess_sim_20260522_025172,0
sess_sim_20260522_040039-step_04,sess_sim_20260522_040039,0
sess_sim_20260522_041081-step_03,sess_sim_20260522_041081,4
sess_sim_20260522_019493-step_05,sess_sim_20260522_019493,4
sess_sim_20260522_004291-step_03,sess_sim_20260522_004291,1
sess_sim_20260522_022605-step_06,sess_sim_20260522_022605,2
sess_sim_20260522_017501-step_07,sess_sim_20260522_017501,3
sess_sim_20260522_000681-step_04,sess_sim_20260522_000681,1
sess_sim_20260522_006151-step_05,sess_sim_20260522_006151,1
sess_sim_20260522_005068-step_06,sess_sim_20260522_005068,2
sess_sim_20260522_026445-step_08,sess_sim_20260522_026445,3
sess_sim_20260522_007586-step_03,sess_sim_20260522_007586,4
sess_sim_20260522_035725-step_10,sess_sim_20260522_035725,0
sess_sim_20260522_027249-step_03,sess_sim_20260522_027249,4
sess_sim_20260522_012762-step_09,sess_sim_20260522_012762,2
sess_sim_20260522_002891-step_01,sess_sim_20260522_002891,2
sess_au_191481_007-step_02,sess_au_191481_007,3
sess_sim_20260522_004921-step_04,sess_sim_20260522_004921,0
sess_sim_20260522_031147-step_06,sess_sim_20260522_031147,1
sess_sim_20260522_032874-step_01,sess_sim_20260522_032874,4
sess_sim_20260522_036050-step_09,sess_sim_20260522_036050,3
sess_sim_20260522_030154-step_08,sess_sim_20260522_030154,1
sess_sim_20260522_013112-step_03,sess_sim_20260522_013112,0
sess_sim_20260522_011073-step_01,sess_sim_20260522_011073,1
sess_sim_20260522_021231-step_11,sess_sim_20260522_021231,4
sess_sim_20260522_012148-step_01,sess_sim_20260522_012148,4
sess_sim_20260522_028673-step_12,sess_sim_20260522_028673,2
sess_sim_20260522_000325-step_07,sess_sim_20260522_000325,2
sess_sim_20260522_043903-step_10,sess_sim_20260522_043903,1
sess_sim_20260522_027068-step_06,sess_sim_20260522_027068,4
sess_sim_20260522_042506-step_03,sess_sim_20260522_042506,1
sess_sim_20260522_034768-step_05,sess_sim_20260522_034768,4
sess_sim_20260522_036352-step_03,sess_sim_20260522_036352,1
sess_sim_20260522_015069-step_08,sess_sim_20260522_015069,2
sess_sim_20260522_032769-step_01,sess_sim_20260522_032769,0
sess_sim_20260522_011898-step_02,sess_sim_20260522_011898,0
sess_sim_20260522_020728-step_04,sess_sim_20260522_020728,1
sess_sim_20260522_037367-step_07,sess_sim_20260522_037367,1
sess_sim_20260522_002665-step_10,sess_sim_20260522_002665,1
sess_sim_20260522_019838-step_02,sess_sim_20260522_019838,1
sess_au_296983_005-step_02,sess_au_296983_005,2
sess_sim_20260522_010991-step_02,sess_sim_20260522_010991,1
sess_sim_20260522_009136-step_11,sess_sim_20260522_009136,0
sess_au_593760_002-step_04,sess_au_593760_002,1
sess_sim_20260522_018544-step_06,sess_sim_20260522_018544,4
sess_au_630362_007-step_02,sess_au_630362_007,3
sess_sim_20260522_008730-step_10,sess_sim_20260522_008730,0
sess_sim_20260522_039102-step_07,sess_sim_20260522_039102,1
sess_sim_20260522_015100-step_06,sess_sim_20260522_015100,3
sess_sim_20260522_011513-step_05,sess_sim_20260522_011513,3
sess_sim_20260522_009308-step_09,sess_sim_20260522_009308,3
sess_sim_20260522_040448-step_02,sess_sim_20260522_040448,2
sess_sim_20260522_002726-step_02,sess_sim_20260522_002726,2
sess_sim_20260522_017677-step_05,sess_sim_20260522_017677,4
sess_sim_20260522_004207-step_02,sess_sim_20260522_004207,1
sess_sim_20260522_006261-step_08,sess_sim_20260522_006261,0
sess_sim_20260522_019273-step_05,sess_sim_20260522_019273,3
sess_sim_20260522_029097-step_05,sess_sim_20260522_029097,1
sess_sim_20260522_037447-step_05,sess_sim_20260522_037447,0
sess_sim_20260522_043009-step_08,sess_sim_20260522_043009,4
sess_sim_20260522_000987-step_17,sess_sim_20260522_000987,4
sess_sim_20260522_000404-step_03,sess_sim_20260522_000404,4
sess_sim_20260522_011847-step_04,sess_sim_20260522_011847,3
sess_sim_20260522_015551-step_04,sess_sim_20260522_015551,0
sess_sim_20260522_041282-step_04,sess_sim_20260522_041282,1
sess_sim_20260522_032855-step_05,sess_sim_20260522_032855,4
sess_sim_20260522_021070-step_08,sess_sim_20260522_021070,3
sess_sim_20260522_012046-step_06,sess_sim_20260522_012046,1
sess_sim_20260522_014061-step_01,sess_sim_20260522_014061,2
sess_sim_20260522_042239-step_09,sess_sim_20260522_042239,4
sess_sim_20260522_035449-step_01,sess_sim_20260522_035449,2
sess_sim_20260522_019594-step_10,sess_sim_20260522_019594,3
sess_sim_20260522_012487-step_04,sess_sim_20260522_012487,0
sess_sim_20260522_013142-step_02,sess_sim_20260522_013142,2
sess_sim_20260522_034305-step_07,sess_sim_20260522_034305,0
sess_sim_20260522_043264-step_08,sess_sim_20260522_043264,3
sess_sim_20260522_002257-step_04,sess_sim_20260522_002257,2
sess_sim_20260522_036822-step_13,sess_sim_20260522_036822,0
sess_sim_20260522_015980-step_01,sess_sim_20260522_015980,0
sess_sim_20260522_046316-step_10,sess_sim_20260522_046316,2
sess_sim_20260522_008570-step_04,sess_sim_20260522_008570,3
sess_sim_20260522_045377-step_01,sess_sim_20260522_045377,0
sess_sim_20260522_012796-step_05,sess_sim_20260522_012796,2
sess_sim_20260522_042593-step_07,sess_sim_20260522_042593,3
sess_sim_20260522_009255-step_03,sess_sim_20260522_009255,0
sess_sim_20260522_001083-step_05,sess_sim_20260522_001083,1
sess_sim_20260522_030571-step_09,sess_sim_20260522_030571,0
sess_sim_20260522_007984-step_06,sess_sim_20260522_007984,0
sess_sim_20260522_020929-step_06,sess_sim_20260522_020929,4
sess_sim_20260522_046156-step_07,sess_sim_20260522_046156,2
sess_sim_20260522_024798-step_01,sess_sim_20260522_024798,2
sess_sim_20260522_042345-step_10,sess_sim_20260522_042345,4
sess_sim_20260522_012284-step_01,sess_sim_20260522_012284,1
sess_sim_20260522_015957-step_14,sess_sim_20260522_015957,0
sess_sim_20260522_029199-step_02,sess_sim_20260522_029199,4
sess_sim_20260522_006933-step_15,sess_sim_20260522_006933,3
sess_sim_20260522_014228-step_06,sess_sim_20260522_014228,4
sess_sim_20260522_015582-step_02,sess_sim_20260522_015582,1
sess_au_427940_007-step_01,sess_au_427940_007,2
sess_sim_20260522_000545-step_06,sess_sim_20260522_000545,1
sess_sim_20260522_012394-step_05,sess_sim_20260522_012394,3
sess_sim_20260522_002107-step_05,sess_sim_20260522_002107,2
sess_sim_20260522_037073-step_01,sess_sim_20260522_037073,0
sess_au_860213_003-step_04,sess_au_860213_003,4
sess_sim_20260522_043589-step_02,sess_sim_20260522_043589,2
sess_sim_20260522_024453-step_04,sess_sim_20260522_024453,2
sess_sim_20260522_043927-step_02,sess_sim_20260522_043927,1
sess_sim_20260522_030676-step_04,sess_sim_20260522_030676,3
sess_sim_20260522_029900-step_03,sess_sim_20260522_029900,1
sess_sim_20260522_022393-step_02,sess_sim_20260522_022393,4
sess_sim_20260522_010715-step_14,sess_sim_20260522_010715,4
sess_sim_20260522_006403-step_04,sess_sim_20260522_006403,3
sess_sim_20260522_037341-step_03,sess_sim_20260522_037341,3
sess_sim_20260522_001458-step_05,sess_sim_20260522_001458,1
sess_sim_20260522_039618-step_01,sess_sim_20260522_039618,4
sess_sim_20260522_005691-step_01,sess_sim_20260522_005691,4
sess_sim_20260522_004365-step_06,sess_sim_20260522_004365,2
sess_sim_20260522_040107-step_06,sess_sim_20260522_040107,0
sess_sim_20260522_032018-step_07,sess_sim_20260522_032018,1
sess_sim_20260522_019238-step_01,sess_sim_20260522_019238,0
sess_sim_20260522_010672-step_04,sess_sim_20260522_010672,0
sess_sim_20260522_019275-step_07,sess_sim_20260522_019275,1
sess_sim_20260522_024286-step_10,sess_sim_20260522_024286,3
sess_sim_20260522_042503-step_03,sess_sim_20260522_042503,4
sess_sim_20260522_042426-step_04,sess_sim_20260522_042426,3
sess_sim_20260522_042395-step_07,sess_sim_20260522_042395,0
sess_sim_20260522_022657-step_01,sess_sim_20260522_022657,1
sess_sim_20260522_017403-step_01,sess_sim_20260522_017403,3
sess_sim_20260522_041970-step_03,sess_sim_20260522_041970,4
sess_sim_20260522_042044-step_08,sess_sim_20260522_042044,3
sess_au_950602_002-step_10,sess_au_950602_002,1
sess_sim_20260522_020239-step_06,sess_sim_20260522_020239,1
sess_sim_20260522_027026-step_03,sess_sim_20260522_027026,2
sess_sim_20260522_045159-step_02,sess_sim_20260522_045159,1
sess_sim_20260522_043771-step_02,sess_sim_20260522_043771,4
sess_sim_20260522_038394-step_05,sess_sim_20260522_038394,0
sess_sim_20260522_015364-step_10,sess_sim_20260522_015364,1
sess_sim_20260522_019468-step_07,sess_sim_20260522_019468,1
sess_sim_20260522_018092-step_03,sess_sim_20260522_018092,2
sess_sim_20260522_025586-step_05,sess_sim_20260522_025586,4
sess_sim_20260522_007473-step_02,sess_sim_20260522_007473,0
sess_au_577567_009-step_01,sess_au_577567_009,1
sess_sim_20260522_023620-step_01,sess_sim_20260522_023620,4
sess_sim_20260522_035491-step_04,sess_sim_20260522_035491,0
sess_sim_20260522_008735-step_01,sess_sim_20260522_008735,1
sess_sim_20260522_043875-step_02,sess_sim_20260522_043875,1
